target_name,method,category,quantile,threshold,precision,recall,f1,fpr
best_overall,imagenet_padim,bottle,0.9,648.3726806640625,0.9264705882352942,1.0,0.9618320610687023,0.25
best_overall,imagenet_padim,bottle,0.905,653.5318603515626,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.91,658.6910400390625,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.916,664.8820556640625,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.921,670.0412353515626,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.926,675.2004150390625,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.931,680.3595947265626,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.936,685.5187744140626,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.942,691.7097900390625,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.947,696.8689697265623,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.952,731.7692919921868,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.957,811.2813281250004,0.9402985074626866,1.0,0.9692307692307692,0.2
best_overall,imagenet_padim,bottle,0.963,906.6957714843734,0.9692307692307692,1.0,0.984375,0.1
best_overall,imagenet_padim,bottle,0.968,986.207807617187,0.9692307692307692,1.0,0.984375,0.1
best_overall,imagenet_padim,bottle,0.973,1065.7198437500006,0.9692307692307692,1.0,0.984375,0.1
best_overall,imagenet_padim,bottle,0.978,1145.2318798828114,0.984375,1.0,0.9921259842519685,0.05
best_overall,imagenet_padim,bottle,0.983,1224.743916015625,0.984375,1.0,0.9921259842519685,0.05
best_overall,imagenet_padim,bottle,0.989,1320.1583593750008,0.984375,1.0,0.9921259842519685,0.05
best_overall,imagenet_padim,bottle,0.994,1399.6703955078117,0.984375,1.0,0.9921259842519685,0.05
best_overall,imagenet_padim,bottle,0.999,1479.1824316406253,0.984375,1.0,0.9921259842519685,0.05
best_overall,imagenet_padim,cable,0.9,3440.7007324218753,0.9387755102040817,0.5,0.6524822695035462,0.05172413793103448
best_overall,imagenet_padim,cable,0.905,3459.279230957031,0.9387755102040817,0.5,0.6524822695035462,0.05172413793103448
best_overall,imagenet_padim,cable,0.91,3516.792006835937,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.916,3585.807337890625,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.921,3643.320113769532,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.926,3700.832889648438,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.931,3758.345665527345,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.936,3815.858441406251,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.942,3884.8737724609373,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.947,3942.386548339844,0.9333333333333333,0.45652173913043476,0.6131386861313869,0.05172413793103448
best_overall,imagenet_padim,cable,0.952,3999.8993242187485,0.9318181818181818,0.44565217391304346,0.6029411764705882,0.05172413793103448
best_overall,imagenet_padim,cable,0.957,4088.151153808592,0.9523809523809523,0.43478260869565216,0.5970149253731343,0.034482758620689655
best_overall,imagenet_padim,cable,0.963,4197.095564941405,0.9523809523809523,0.43478260869565216,0.5970149253731343,0.034482758620689655
best_overall,imagenet_padim,cable,0.968,4287.882574218749,0.9512195121951219,0.42391304347826086,0.5864661654135338,0.034482758620689655
best_overall,imagenet_padim,cable,0.973,4378.669583496094,0.9487179487179487,0.40217391304347827,0.5648854961832062,0.034482758620689655
best_overall,imagenet_padim,cable,0.978,4469.4565927734375,0.9459459459459459,0.3804347826086957,0.5426356589147286,0.034482758620689655
best_overall,imagenet_padim,cable,0.983,4560.243602050782,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.034482758620689655
best_overall,imagenet_padim,cable,0.989,4669.188013183592,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.034482758620689655
best_overall,imagenet_padim,cable,0.994,4759.975022460936,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.034482758620689655
best_overall,imagenet_padim,cable,0.999,4850.762031738281,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.034482758620689655
best_overall,imagenet_padim,capsule,0.9,1493.7899291992194,0.9565217391304348,0.6055045871559633,0.7415730337078652,0.13043478260869565
best_overall,imagenet_padim,capsule,0.905,1534.9936871337873,0.9565217391304348,0.6055045871559633,0.7415730337078652,0.13043478260869565
best_overall,imagenet_padim,capsule,0.91,1729.072664794921,0.9558823529411765,0.5963302752293578,0.7344632768361582,0.13043478260869565
best_overall,imagenet_padim,capsule,0.916,1961.9674379882824,0.9672131147540983,0.5412844036697247,0.6941176470588235,0.08695652173913043
best_overall,imagenet_padim,capsule,0.921,2156.0464156494163,0.9827586206896551,0.5229357798165137,0.6826347305389222,0.043478260869565216
best_overall,imagenet_padim,capsule,0.926,2350.1253933105495,0.9811320754716981,0.47706422018348627,0.6419753086419753,0.043478260869565216
best_overall,imagenet_padim,capsule,0.931,2544.204370971683,0.9795918367346939,0.44036697247706424,0.6075949367088608,0.043478260869565216
best_overall,imagenet_padim,capsule,0.936,2738.283348632817,0.9782608695652174,0.41284403669724773,0.5806451612903226,0.043478260869565216
best_overall,imagenet_padim,capsule,0.942,2971.178121826172,0.9767441860465116,0.3853211009174312,0.5526315789473685,0.043478260869565216
best_overall,imagenet_padim,capsule,0.947,3165.2570994873054,0.975,0.3577981651376147,0.5234899328859061,0.043478260869565216
best_overall,imagenet_padim,capsule,0.952,3359.3360771484327,0.975,0.3577981651376147,0.5234899328859061,0.043478260869565216
best_overall,imagenet_padim,capsule,0.957,3533.111351562496,0.9736842105263158,0.3394495412844037,0.5034013605442177,0.043478260869565216
best_overall,imagenet_padim,capsule,0.963,3739.6322421874984,0.972972972972973,0.3302752293577982,0.4931506849315068,0.043478260869565216
best_overall,imagenet_padim,capsule,0.968,3911.732984374999,0.9714285714285714,0.3119266055045872,0.4722222222222222,0.043478260869565216
best_overall,imagenet_padim,capsule,0.973,4083.8337265624996,0.9705882352941176,0.30275229357798167,0.46153846153846156,0.043478260869565216
best_overall,imagenet_padim,capsule,0.978,4255.934468750001,0.9696969696969697,0.29357798165137616,0.4507042253521127,0.043478260869565216
best_overall,imagenet_padim,capsule,0.983,4428.035210937501,0.96875,0.28440366972477066,0.4397163120567376,0.043478260869565216
best_overall,imagenet_padim,capsule,0.989,4634.556101562497,0.9666666666666667,0.26605504587155965,0.4172661870503597,0.043478260869565216
best_overall,imagenet_padim,capsule,0.994,4806.656843749998,0.9655172413793104,0.25688073394495414,0.4057971014492754,0.043478260869565216
best_overall,imagenet_padim,capsule,0.999,4978.757585937498,0.9629629629629629,0.23853211009174313,0.38235294117647056,0.043478260869565216
best_overall,imagenet_padim,carpet,0.9,323.3242828369141,0.8811881188118812,1.0,0.9368421052631579,0.42857142857142855
best_overall,imagenet_padim,carpet,0.905,329.2207975769044,0.8811881188118812,1.0,0.9368421052631579,0.42857142857142855
best_overall,imagenet_padim,carpet,0.91,335.1173123168945,0.89,1.0,0.9417989417989417,0.39285714285714285
best_overall,imagenet_padim,carpet,0.916,342.1931300048828,0.898989898989899,1.0,0.9468085106382979,0.35714285714285715
best_overall,imagenet_padim,carpet,0.921,348.0896447448731,0.898989898989899,1.0,0.9468085106382979,0.35714285714285715
best_overall,imagenet_padim,carpet,0.926,353.9611796875001,0.898989898989899,1.0,0.9468085106382979,0.35714285714285715
best_overall,imagenet_padim,carpet,0.931,358.17155810546876,0.898989898989899,1.0,0.9468085106382979,0.35714285714285715
best_overall,imagenet_padim,carpet,0.936,362.38193652343756,0.9081632653061225,1.0,0.9518716577540107,0.32142857142857145
best_overall,imagenet_padim,carpet,0.942,367.43439062499993,0.9081632653061225,1.0,0.9518716577540107,0.32142857142857145
best_overall,imagenet_padim,carpet,0.947,371.64476904296873,0.9081632653061225,1.0,0.9518716577540107,0.32142857142857145
best_overall,imagenet_padim,carpet,0.952,375.85514746093753,0.9081632653061225,1.0,0.9518716577540107,0.32142857142857145
best_overall,imagenet_padim,carpet,0.957,380.0655258789062,0.9081632653061225,1.0,0.9518716577540107,0.32142857142857145
best_overall,imagenet_padim,carpet,0.963,385.1372071533202,0.9175257731958762,1.0,0.956989247311828,0.2857142857142857
best_overall,imagenet_padim,carpet,0.968,391.94325390624994,0.9175257731958762,1.0,0.956989247311828,0.2857142857142857
best_overall,imagenet_padim,carpet,0.973,398.7493006591797,0.9175257731958762,1.0,0.956989247311828,0.2857142857142857
best_overall,imagenet_padim,carpet,0.978,405.5553474121093,0.9175257731958762,1.0,0.956989247311828,0.2857142857142857
best_overall,imagenet_padim,carpet,0.983,412.3613941650391,0.9263157894736842,0.9887640449438202,0.9565217391304348,0.25
best_overall,imagenet_padim,carpet,0.989,420.52865026855466,0.9263157894736842,0.9887640449438202,0.9565217391304348,0.25
best_overall,imagenet_padim,carpet,0.994,427.33469702148443,0.9263157894736842,0.9887640449438202,0.9565217391304348,0.25
best_overall,imagenet_padim,carpet,0.999,434.14074377441403,0.925531914893617,0.9775280898876404,0.9508196721311475,0.25
best_overall,imagenet_padim,grid,0.9,722.6100769042969,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.905,724.0816268920898,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.91,725.5531768798828,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.916,727.3190368652344,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.921,731.120039367676,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.926,744.2388519287111,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.931,757.3576644897463,0.9444444444444444,0.5964912280701754,0.7311827956989247,0.09523809523809523
best_overall,imagenet_padim,grid,0.936,770.4764770507815,0.9714285714285714,0.5964912280701754,0.7391304347826086,0.047619047619047616
best_overall,imagenet_padim,grid,0.942,786.2190521240232,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.947,799.3378646850583,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.952,812.4566772460935,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.957,825.575489807129,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.963,839.4612564086914,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.968,849.4853881835937,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.973,859.5095199584961,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.978,869.5336517333984,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.983,879.5577835083008,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.989,891.5867416381838,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.994,901.6108734130861,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,grid,0.999,911.6350051879884,0.9696969696969697,0.5614035087719298,0.7111111111111111,0.047619047619047616
best_overall,imagenet_padim,hazelnut,0.9,1957.880273437501,0.8412698412698413,0.7571428571428571,0.7969924812030075,0.25
best_overall,imagenet_padim,hazelnut,0.905,2032.8731250000003,0.85,0.7285714285714285,0.7846153846153846,0.225
best_overall,imagenet_padim,hazelnut,0.91,2107.8659765624993,0.8421052631578947,0.6857142857142857,0.7559055118110236,0.225
best_overall,imagenet_padim,hazelnut,0.916,2197.8573984375,0.8421052631578947,0.6857142857142857,0.7559055118110236,0.225
best_overall,imagenet_padim,hazelnut,0.921,2272.850250000002,0.8490566037735849,0.6428571428571429,0.7317073170731707,0.2
best_overall,imagenet_padim,hazelnut,0.926,2275.4024697265627,0.8490566037735849,0.6428571428571429,0.7317073170731707,0.2
best_overall,imagenet_padim,hazelnut,0.931,2277.184044433594,0.8490566037735849,0.6428571428571429,0.7317073170731707,0.2
best_overall,imagenet_padim,hazelnut,0.936,2278.965619140625,0.8490566037735849,0.6428571428571429,0.7317073170731707,0.2
best_overall,imagenet_padim,hazelnut,0.942,2281.1035087890623,0.8490566037735849,0.6428571428571429,0.7317073170731707,0.2
best_overall,imagenet_padim,hazelnut,0.947,2282.8850834960936,0.8490566037735849,0.6428571428571429,0.7317073170731707,0.2
best_overall,imagenet_padim,hazelnut,0.952,2882.6569082031315,0.8541666666666666,0.5857142857142857,0.6949152542372882,0.175
best_overall,imagenet_padim,hazelnut,0.957,3529.996139160155,0.8108108108108109,0.42857142857142855,0.5607476635514018,0.175
best_overall,imagenet_padim,hazelnut,0.963,4306.803216308597,0.75,0.3,0.42857142857142855,0.175
best_overall,imagenet_padim,hazelnut,0.968,4954.142447265622,0.6818181818181818,0.21428571428571427,0.32608695652173914,0.175
best_overall,imagenet_padim,hazelnut,0.973,5601.481678222644,0.6666666666666666,0.17142857142857143,0.2727272727272727,0.15
best_overall,imagenet_padim,hazelnut,0.978,6334.52256054688,0.7142857142857143,0.14285714285714285,0.23809523809523808,0.1
best_overall,imagenet_padim,hazelnut,0.983,7081.15029003906,0.75,0.12857142857142856,0.21951219512195122,0.075
best_overall,imagenet_padim,hazelnut,0.989,7977.10356542969,0.6666666666666666,0.08571428571428572,0.1518987341772152,0.075
best_overall,imagenet_padim,hazelnut,0.994,8723.731294921869,0.7142857142857143,0.07142857142857142,0.12987012987012986,0.05
best_overall,imagenet_padim,hazelnut,0.999,9470.359024414076,0.7142857142857143,0.07142857142857142,0.12987012987012986,0.05
best_overall,imagenet_padim,leather,0.9,440.19086914062495,0.8288288288288288,1.0,0.9064039408866995,0.59375
best_overall,imagenet_padim,leather,0.905,449.6454217529298,0.8440366972477065,1.0,0.9154228855721394,0.53125
best_overall,imagenet_padim,leather,0.91,459.09997436523435,0.8598130841121495,1.0,0.9246231155778895,0.46875
best_overall,imagenet_padim,leather,0.916,485.04371435546915,0.8761904761904762,1.0,0.934010152284264,0.40625
best_overall,imagenet_padim,leather,0.921,519.1865292968749,0.9019607843137255,1.0,0.9484536082474226,0.3125
best_overall,imagenet_padim,leather,0.926,553.3293442382818,0.9108910891089109,1.0,0.9533678756476683,0.28125
best_overall,imagenet_padim,leather,0.931,587.4721591796875,0.9108910891089109,1.0,0.9533678756476683,0.28125
best_overall,imagenet_padim,leather,0.936,621.6149741210944,0.92,1.0,0.9583333333333334,0.25
best_overall,imagenet_padim,leather,0.942,662.5863520507813,0.9583333333333334,1.0,0.9787234042553191,0.125
best_overall,imagenet_padim,leather,0.947,696.7291669921872,0.9787234042553191,1.0,0.989247311827957,0.0625
best_overall,imagenet_padim,leather,0.952,730.871981933594,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.957,762.1510545654296,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.963,767.1954835205079,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.968,771.3991743164062,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.973,775.6028651123046,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.978,779.8065559082031,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.983,784.0102467041015,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.989,789.0546756591797,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.994,793.2583664550781,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,leather,0.999,797.4620572509766,0.989247311827957,1.0,0.9945945945945946,0.03125
best_overall,imagenet_padim,metal_nut,0.9,1022.8668090820314,0.9772727272727273,0.9247311827956989,0.9502762430939227,0.09090909090909091
best_overall,imagenet_padim,metal_nut,0.905,1033.274434814453,0.9772727272727273,0.9247311827956989,0.9502762430939227,0.09090909090909091
best_overall,imagenet_padim,metal_nut,0.91,1061.6115405273435,0.9772727272727273,0.9247311827956989,0.9502762430939227,0.09090909090909091
