category,method,run_mode,representation_source,anomaly_head,aug_strength,backbone_name,layers,img_size,coreset_ratio,n_train_good,n_val_good,n_test_total,n_test_anomaly,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,n_eval_images,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
hazelnut,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,352.0,39.0,110.0,70.0,0.7964285714285715,0.8069754288426971,0.9673086554185288,11.026789665222168,0.035004591941833495,110.0,100.0,196.0,7.55157470703125,,
hazelnut,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,352.0,39.0,110.0,70.0,0.9485714285714286,0.9697445335570614,0.7915059937221866,53.30081081390381,0.03510760177265514,110.0,,,,0.9917669296264648,
leather,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,221.0,24.0,124.0,92.0,0.9904891304347826,0.9966943570838613,0.9864810894002232,6.846317291259766,0.03774804261422927,124.0,256.0,2166.0,2.115234375,,
leather,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,221.0,24.0,124.0,92.0,1.0,1.0000000000000002,0.9826650712685876,6.255606651306152,0.03207947554126862,124.0,100.0,196.0,7.55157470703125,,
leather,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,221.0,24.0,124.0,92.0,0.9096467391304348,0.9711651171299178,0.6847828290348897,31.074666738510132,0.033940830538349766,124.0,,,,0.9917497634887695,
metal_nut,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,198.0,22.0,115.0,93.0,0.8709677419354839,0.963606769955693,0.9456438143082714,3.1331796646118164,0.02424455518307893,115.0,256.0,1940.0,1.89453125,,
metal_nut,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,198.0,22.0,115.0,93.0,0.9481915933528836,0.9868899868958341,0.9321012009363445,3.203477621078491,0.019330290089482848,115.0,100.0,196.0,7.55157470703125,,
metal_nut,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,198.0,22.0,115.0,93.0,0.22287390029325516,0.6817571899469541,0.6368307840078973,14.453984022140503,0.018597841262817383,115.0,,,,0.9917840957641602,
pill,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,240.0,27.0,167.0,141.0,0.7741407528641572,0.9545646282941354,0.9225998933671616,5.142001390457153,0.02738008527698631,167.0,256.0,2352.0,2.296875,,
pill,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,240.0,27.0,167.0,141.0,0.8930714675395526,0.9756720352967858,0.9483599755261444,5.052676439285278,0.022730199162831564,167.0,100.0,196.0,7.55157470703125,,
pill,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,240.0,27.0,167.0,141.0,0.5406437534097108,0.8640157719577839,0.437815826621562,24.200546264648438,0.02411901451156525,167.0,,,,0.9911489486694336,
screw,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,288.0,32.0,160.0,119.0,0.491699118671859,0.7682292816525575,0.9457477533118702,4.776544570922852,0.021541309356689454,160.0,256.0,2822.0,2.755859375,,
screw,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,288.0,32.0,160.0,119.0,0.8216847714695634,0.9117397649515004,0.9701163346064068,4.805210828781128,0.0177759513258934,160.0,100.0,196.0,7.55157470703125,,
screw,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,288.0,32.0,160.0,119.0,0.14408690305390448,0.5739815179208478,0.8511231083569198,22.31438112258911,0.017138607800006866,160.0,,,,0.9917154312133789,
tile,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,207.0,23.0,117.0,84.0,0.8986291486291487,0.958926105192933,0.8932218989750376,5.2065229415893555,0.029661476102649655,117.0,256.0,2029.0,1.9814453125,,
tile,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,207.0,23.0,117.0,84.0,0.9880952380952381,0.995492527127523,0.9060082405644913,4.8295674324035645,0.027093962726429995,117.0,100.0,196.0,7.55157470703125,,
tile,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,207.0,23.0,117.0,84.0,0.8914141414141414,0.9579111472720327,0.500050334696504,23.634756326675415,0.02630701635637854,117.0,,,,0.9911489486694336,
toothbrush,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,54.0,6.0,42.0,30.0,0.6888888888888889,0.8860532042102642,0.9793437405911718,2.466383457183838,0.042978587604704355,42.0,256.0,529.0,0.5166015625,,
toothbrush,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,54.0,6.0,42.0,30.0,0.8805555555555556,0.9453998477094891,0.9800612934572502,2.054340124130249,0.04246761117662702,42.0,100.0,196.0,7.55157470703125,,
toothbrush,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,54.0,6.0,42.0,30.0,0.2777777777777778,0.6075724996339423,0.36184649711424677,10.489346027374268,0.040400874047052296,42.0,,,,0.9918012619018555,
transistor,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,192.0,21.0,100.0,40.0,0.8200000000000001,0.8113774069375248,0.9020097204892477,6.1607911586761475,0.03487013816833496,100.0,256.0,1882.0,1.837890625,,
transistor,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,192.0,21.0,100.0,40.0,0.94375,0.9306883518374789,0.9761645289783621,6.070998191833496,0.033367342948913574,100.0,100.0,196.0,7.55157470703125,,
transistor,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,192.0,21.0,100.0,40.0,0.3745833333333333,0.40432426137680444,0.4241593088878497,28.602478504180908,0.033022511005401614,100.0,,,,0.9918012619018555,
wood,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,222.0,25.0,79.0,60.0,0.9859649122807017,0.9957967642283455,0.8964111637513547,7.836278915405273,0.043389540684374076,79.0,256.0,2176.0,2.125,,
wood,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,222.0,25.0,79.0,60.0,0.962280701754386,0.9879199410283267,0.9112428884450141,7.460995674133301,0.03991785532311548,79.0,100.0,196.0,7.55157470703125,,
wood,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,222.0,25.0,79.0,60.0,0.9675438596491228,0.9911943690833528,0.6851660399827729,36.926997900009155,0.03963756259483627,79.0,,,,0.9911489486694336,
zipper,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,216.0,24.0,151.0,119.0,0.8849789915966386,0.9540185738283528,0.96841820666692,3.7626259326934814,0.020960269384826254,151.0,256.0,2117.0,2.0673828125,,
zipper,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,216.0,24.0,151.0,119.0,0.9343487394957983,0.9734878078766588,0.9584219356236149,3.3877809047698975,0.017918435153582237,151.0,100.0,196.0,7.55157470703125,,
zipper,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,216.0,24.0,151.0,119.0,0.6016281512605043,0.8311824930078887,0.5728478518656874,16.802184104919434,0.017439258019655745,151.0,,,,0.9917325973510742,
MEAN,autoencoder,full,none,autoencoder,none,,layer3,224,,,,,,0.5279350944874001,0.7669489885081703,0.6173427754537084,26.339031902949014,0.02918536648238057,,,,,0.9915918350219727,
MEAN,imagenet_padim,full,imagenet,padim,none,,layer3,224,,,,,,0.9215592407561005,0.9561486710118273,0.9557377948646315,5.451061979929606,0.029220378038983492,,100.0,196.0,7.55157470703125,,
MEAN,imagenet_patchcore,full,imagenet,patchcore,none,,layer3,224,0.05,,,,,0.8220207378518032,0.920158922004595,0.9398779869029446,5.698702239990235,0.0323700854871627,,256.0,2134.5333333333333,2.0845052083333333,,
