target_name,method,category,policy,quantile,threshold,precision,recall,f1,fpr
best_overall,imagenet_padim,bottle,high_recall,0.95,678.67041015625,0.9692307692307692,1.0,0.984375,0.1
best_overall,imagenet_padim,bottle,balanced,0.98,680.20908203125,0.9692307692307692,1.0,0.984375,0.1
best_overall,imagenet_padim,bottle,low_false_alarm,0.995,680.97841796875,0.9692307692307692,1.0,0.984375,0.1
best_overall,imagenet_padim,cable,high_recall,0.95,3179.3823852539062,0.9245283018867925,0.532608695652174,0.6758620689655173,0.06896551724137931
best_overall,imagenet_padim,cable,balanced,0.98,3227.679453125,0.9245283018867925,0.532608695652174,0.6758620689655173,0.06896551724137931
best_overall,imagenet_padim,cable,low_false_alarm,0.995,3251.922609863281,0.9245283018867925,0.532608695652174,0.6758620689655173,0.06896551724137931
best_overall,imagenet_padim,capsule,high_recall,0.95,1556.9398864746092,0.9629629629629629,0.47706422018348627,0.6380368098159509,0.08695652173913043
best_overall,imagenet_padim,capsule,balanced,0.98,2589.0874633789035,0.9705882352941176,0.30275229357798167,0.46153846153846156,0.043478260869565216
best_overall,imagenet_padim,capsule,low_false_alarm,0.995,3143.139663696288,0.9666666666666667,0.26605504587155965,0.4172661870503597,0.043478260869565216
best_overall,imagenet_padim,carpet,high_recall,0.95,416.66049041748045,0.8969072164948454,0.9775280898876404,0.9354838709677419,0.35714285714285715
best_overall,imagenet_padim,carpet,balanced,0.98,418.28623657226564,0.8969072164948454,0.9775280898876404,0.9354838709677419,0.35714285714285715
best_overall,imagenet_padim,carpet,low_false_alarm,0.995,419.4819061279297,0.8969072164948454,0.9775280898876404,0.9354838709677419,0.35714285714285715
best_overall,imagenet_padim,grid,high_recall,0.95,674.3163833618164,0.9310344827586207,0.47368421052631576,0.627906976744186,0.09523809523809523
best_overall,imagenet_padim,grid,balanced,0.98,791.2272338867188,0.96,0.42105263157894735,0.5853658536585366,0.047619047619047616
best_overall,imagenet_padim,grid,low_false_alarm,0.995,835.3022308349609,0.9583333333333334,0.40350877192982454,0.5679012345679012,0.047619047619047616
best_overall,imagenet_padim,hazelnut,high_recall,0.95,2569.5889160156285,0.8648648648648649,0.45714285714285713,0.5981308411214953,0.125
best_overall,imagenet_padim,hazelnut,balanced,0.98,4999.211953125003,0.8571428571428571,0.17142857142857143,0.2857142857142857,0.05
best_overall,imagenet_padim,hazelnut,low_false_alarm,0.995,5658.32093261719,0.8571428571428571,0.08571428571428572,0.15584415584415584,0.025
best_overall,imagenet_padim,leather,high_recall,0.95,565.6260925292967,0.8518518518518519,1.0,0.92,0.5
best_overall,imagenet_padim,leather,balanced,0.98,813.7657604980466,0.9484536082474226,1.0,0.9735449735449735,0.15625
best_overall,imagenet_padim,leather,low_false_alarm,0.995,962.3226046752936,0.968421052631579,1.0,0.983957219251337,0.09375
best_overall,imagenet_padim,metal_nut,high_recall,0.95,941.3097839355468,0.9560439560439561,0.9354838709677419,0.9456521739130435,0.18181818181818182
best_overall,imagenet_padim,metal_nut,balanced,0.98,985.2386279296874,0.9560439560439561,0.9354838709677419,0.9456521739130435,0.18181818181818182
best_overall,imagenet_padim,metal_nut,low_false_alarm,0.995,1006.2872570800781,0.9560439560439561,0.9354838709677419,0.9456521739130435,0.18181818181818182
best_overall,imagenet_padim,pill,high_recall,0.95,1739.0643920898438,1.0,0.5035460992907801,0.6698113207547169,0.0
best_overall,imagenet_padim,pill,balanced,0.98,2791.4245556640635,1.0,0.2907801418439716,0.45054945054945056,0.0
best_overall,imagenet_padim,pill,low_false_alarm,0.995,3627.3907458496114,1.0,0.23404255319148937,0.3793103448275862,0.0
best_overall,imagenet_padim,screw,high_recall,0.95,2068.0228027343746,0.9230769230769231,0.20168067226890757,0.3310344827586207,0.04878048780487805
best_overall,imagenet_padim,screw,balanced,0.98,2238.8739453125,0.9166666666666666,0.18487394957983194,0.3076923076923077,0.04878048780487805
best_overall,imagenet_padim,screw,low_false_alarm,0.995,2255.1348681640625,0.9130434782608695,0.17647058823529413,0.29577464788732394,0.04878048780487805
best_overall,imagenet_padim,tile,high_recall,0.95,2024.307275390624,0.9864864864864865,0.8690476190476191,0.9240506329113924,0.030303030303030304
best_overall,imagenet_padim,tile,balanced,0.98,2176.866904296875,0.9861111111111112,0.8452380952380952,0.9102564102564102,0.030303030303030304
best_overall,imagenet_padim,tile,low_false_alarm,0.995,2225.7476708984377,1.0,0.8452380952380952,0.9161290322580645,0.0
best_overall,imagenet_padim,toothbrush,high_recall,0.95,3061.1486206054688,0.9285714285714286,0.8666666666666667,0.896551724137931,0.16666666666666666
best_overall,imagenet_padim,toothbrush,balanced,0.98,3294.342846679688,0.9230769230769231,0.8,0.8571428571428571,0.16666666666666666
best_overall,imagenet_padim,toothbrush,low_false_alarm,0.995,3410.9399597167962,0.9230769230769231,0.8,0.8571428571428571,0.16666666666666666
best_overall,imagenet_padim,transistor,high_recall,0.95,2010.1387939453125,0.825,0.825,0.825,0.11666666666666667
best_overall,imagenet_padim,transistor,balanced,0.98,2012.25087890625,0.825,0.825,0.825,0.11666666666666667
best_overall,imagenet_padim,transistor,low_false_alarm,0.995,2013.3069213867188,0.825,0.825,0.825,0.11666666666666667
best_overall,imagenet_padim,wood,high_recall,0.95,2892.8157714843687,0.9649122807017544,0.9166666666666666,0.9401709401709402,0.10526315789473684
best_overall,imagenet_padim,wood,balanced,0.98,4550.165136718749,0.9607843137254902,0.8166666666666667,0.8828828828828829,0.10526315789473684
