method,representation_source,anomaly_head,aug_strength,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
imagenet_padim,imagenet,padim,none,0.9215592407561005,0.9561486710118273,0.9557377948646315,5.451061979929606,0.029220378038983492,100.0,196.0,7.55157470703125,,
imagenet_patchcore,imagenet,patchcore,none,0.8220207378518032,0.920158922004595,0.9398779869029446,5.698702239990235,0.0323700854871627,256.0,2134.5333333333333,2.0845052083333333,,
simclr_mild_padim,simclr,padim,mild,0.7853170551004963,0.8969014930714032,0.8786899862581344,5.073669894536336,0.02644198367507629,100.0,196.0,7.55157470703125,42.7114782333374,321.63268229166664
simclr_strong_padim,simclr,padim,strong,0.7607573344390005,0.8872360112512148,0.8687785192887105,5.078313604990641,0.02660682336161048,100.0,196.0,7.55157470703125,42.71171855926514,321.63268229166664
simclr_mild_patchcore,simclr,patchcore,mild,0.7594119749286485,0.8809066906674211,0.8798481856260371,4.978818432490031,0.027822392998971632,256.0,2134.5333333333333,2.0845052083333333,42.7114782333374,321.63268229166664
simclr_strong_patchcore,simclr,patchcore,strong,0.7292828805533837,0.8686962383477049,0.8820509256448966,4.836988798777262,0.027464435798450645,256.0,2134.5333333333333,2.0845052083333333,42.71171855926514,321.63268229166664
autoencoder,none,autoencoder,none,0.5279350944874001,0.7669489885081703,0.6173427754537084,26.339031902949014,0.02918536648238057,,,,0.9915918350219727,
