epoch,loss,sec,aug_strength,run_mode
1,3.6632838249206543,75.61360931396484,mild,full
2,3.0240988731384277,75.29243278503418,mild,full
3,2.8929333686828613,75.40207242965698,mild,full
4,2.838362693786621,74.8279721736908,mild,full
5,2.7660727500915527,74.68995547294617,mild,full
6,2.7450485229492188,75.66711854934692,mild,full
7,2.7201900482177734,76.54359436035156,mild,full
8,2.6868200302124023,75.3694236278534,mild,full
9,2.617546558380127,75.27380657196045,mild,full
10,2.591648578643799,74.92779231071472,mild,full
11,2.558476209640503,73.95459151268005,mild,full
12,2.498570442199707,74.76413488388062,mild,full
13,2.5051822662353516,74.66556906700134,mild,full
14,2.449631690979004,74.66661190986633,mild,full
15,2.4319815635681152,74.48688435554504,mild,full
16,2.4072914123535156,75.98207068443298,mild,full
17,2.3572328090667725,74.86810803413391,mild,full
18,2.335479736328125,76.44802761077881,mild,full
19,2.304064989089966,74.69755387306213,mild,full
20,2.271531343460083,74.21225166320801,mild,full
21,2.2585082054138184,73.29215812683105,mild,full
22,2.2336411476135254,71.16766595840454,mild,full
23,2.2274765968322754,71.45611214637756,mild,full
24,2.217686653137207,69.93557286262512,mild,full
25,2.1535325050354004,70.14804315567017,mild,full
26,2.156224250793457,70.38472580909729,mild,full
27,2.165628433227539,70.1856963634491,mild,full
28,2.1342639923095703,68.18978762626648,mild,full
29,2.1025032997131348,68.02738618850708,mild,full
30,2.10347318649292,66.9753475189209,mild,full
