run_mode,aug_strength,n_categories_ssl,n_train_images_ssl,image_size,batch_size,epochs,learning_rate,weight_decay,temperature,best_loss,best_epoch,total_train_sec,mean_epoch_sec,peak_gpu_mem_mb,encoder_checkpoint_size_mb,encoder_checkpoint_path,loss_table_path,loss_curve_path,multi_gpu_mode
full,mild,15,3267,224,128,30,0.0003,0.0001,0.2,2.1025032997131348,29,2205.37783408165,73.40386923154195,3614.705078125,42.7114782333374,/kaggle/working/mvtec_unified_project/checkpoints/full/simclr_mild_encoder.pt,/kaggle/working/mvtec_unified_project/results/full/table_simclr_train_mild.csv,/kaggle/working/mvtec_unified_project/results/full/fig_simclr_loss_mild.png,ddp_2gpu
full,strong,15,3267,224,128,30,0.0003,0.0001,0.2,2.4721508026123047,29,2035.0131356716156,67.73579223950703,3614.705078125,42.71171855926514,/kaggle/working/mvtec_unified_project/checkpoints/full/simclr_strong_encoder.pt,/kaggle/working/mvtec_unified_project/results/full/table_simclr_train_strong.csv,/kaggle/working/mvtec_unified_project/results/full/fig_simclr_loss_strong.png,ddp_2gpu
